scenario,seed,cumulative_churn,mean_trust_all,mean_trust,mean_harm,platform_reputation,reputation,cumulative_revenue,cumulative_costs,net_value,opportunity_cost,cumulative_projected_revenue,tipping_points_triggered_count,active_users,cumulative_negative_wom_count,cumulative_positive_wom_count,trust_collapse_step,social_contagion_step,churn_cascade_step,extractive_divergence_step,trust_collapse_triggered,social_contagion_triggered,churn_cascade_triggered,extractive_divergence_triggered,churned_skeptic,churned_naive,churned_activist,trust_skeptic,trust_naive,trust_activist,n_skeptic,churned_skeptic_total,n_naive,churned_naive_total,n_activist,churned_activist_total
control,45,0.094,0.7405945996778756,0.7421431006608334,0.0,92.0,0.8195001704625833,699331.3813132882,14998.899999999983,684332.4813132882,-126974.18284250493,572357.1984707833,0.0,453.0,0.0,25181.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,16.0,21.0,10.0,0.624187842299356,0.8245999674949995,0.6762052666423003,135,16,264,21,101,10
control,46,0.078,0.7354325076874743,0.7393665931878252,0.0,92.0,0.8175566152314775,723289.9390464686,15193.299999999992,708096.6390464685,-68636.07754084445,654653.8615056241,0.0,461.0,0.0,25901.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,19.0,10.0,10.0,0.6245254560144166,0.8239847913239612,0.670823491083768,147,19,255,10,98,10
control,47,0.082,0.7272871224729464,0.7304732030089595,0.0,92.0,0.8113312421062715,708280.8897718074,15074.699999999963,693206.1897718074,-115854.7743371178,592426.1154346896,0.0,459.0,0.0,25762.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,19.0,10.0,12.0,0.6239836779991028,0.8237629280200144,0.671147203779122,160,19,232,10,108,12
control,48,0.082,0.7316599256608519,0.7330478416788668,0.0,92.0,0.8131334891752067,713310.6292695781,15033.300000000005,698277.3292695781,-75741.42893172463,637569.2003378535,0.0,459.0,0.0,26654.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,17.0,16.0,8.0,0.6288209973942149,0.825391970588811,0.6738651878240588,154,17,236,16,110,8
control,49,0.092,0.7354303979579736,0.7372797592263169,0.0,92.0,0.8160958314584219,705606.9388516713,15006.399999999996,690600.5388516713,-100039.21385710803,605567.7249945633,0.0,454.0,0.0,24588.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,19.0,18.0,9.0,0.6259835384329557,0.8249789164873705,0.6768561113707733,164,19,253,18,83,9
control,50,0.07,0.7350479960712359,0.7354429300449636,0.0,92.0,0.8148100510314744,716077.7236412441,15193.199999999973,700884.5236412442,-121326.55969927169,594751.1639419724,0.0,465.0,0.0,27281.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,11.0,15.0,9.0,0.6282322464458375,0.8241510902277452,0.6752846299131658,141,11,244,15,115,9
control,51,0.074,0.7356964325877382,0.7395960589848355,0.0,92.0,0.8177172412893847,711467.009235773,15175.999999999996,696291.009235773,-133119.48405233317,578347.5251834398,0.0,463.0,0.0,25217.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,18.0,9.0,10.0,0.6257780152680436,0.8259011901384183,0.6740355994474223,160,18,254,9,86,10
control,52,0.094,0.7407254426678676,0.743110340668332,0.0,92.0,0.8201772384678323,714360.3068633442,15119.499999999993,699240.8068633442,-83024.41723016428,631335.8896331799,0.0,453.0,0.0,25087.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,19.0,20.0,8.0,0.6245280427579915,0.8235773103715952,0.6817769719198927,143,19,266,20,91,8
control,53,0.088,0.7363567806139144,0.7395330473991353,0.0,92.0,0.8176731331793947,713610.5063595765,15020.800000000025,698589.7063595764,-61141.68847933854,652468.8178802379,0.0,456.0,0.0,25214.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,20.0,15.0,9.0,0.62567792117133,0.8269414916715663,0.6775992525457537,152,20,250,15,98,9
control,54,0.08,0.7377434505221224,0.7396595197839848,0.0,92.0,0.8177616638487892,707550.0058092489,15144.699999999997,692405.3058092489,-139113.07069598383,568436.9351132651,0.0,460.0,0.0,25166.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,13.0,16.0,11.0,0.6259857586405645,0.8265951022075904,0.6730731185256459,145,13,256,16,99,11
control,55,0.08,0.7360483044174058,0.7386009533752711,0.0,92.0,0.8170206673626896,701145.9616049756,14982.79999999999,686163.1616049756,-126203.6334305132,574942.3281744624,0.0,460.0,0.0,26021.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,16.0,15.0,9.0,0.6226103729917181,0.8272314699235666,0.6724711567904093,126,16,247,15,127,9
control,56,0.09,0.741771751115875,0.7441988768803374,0.0,92.0,0.8209392138162361,717494.7078703941,15174.30000000001,702320.4078703941,-88108.9757604237,629385.7321099704,0.0,455.0,0.0,25189.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,15.0,19.0,11.0,0.6210167215534993,0.8268842317510476,0.6794280210469473,134,15,266,19,100,11
control,57,0.082,0.7365606866716993,0.7386659012806385,0.0,92.0,0.8170661308964469,708546.7521857196,15135.000000000002,693411.7521857196,-130472.37056870596,578074.3816170136,0.0,459.0,0.0,25445.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,18.0,15.0,8.0,0.6245477183444033,0.826357535466071,0.6763939642900703,158,18,254,15,88,8
control,58,0.064,0.7335249959605256,0.7330474435941925,0.0,92.0,0.8131332105159348,715830.6019189289,15138.499999999984,700692.1019189289,-106590.06548258709,609240.5364363418,0.0,468.0,0.0,26115.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,9.0,16.0,7.0,0.6257496214278676,0.8253201042722161,0.6723571065939538,161,9,248,16,91,7
control,59,0.074,0.7418965525497224,0.743865874806846,0.0,92.0,0.8207061123647921,723142.4287238223,15199.399999999996,707943.0287238223,-76859.36180591455,646283.0669179078,0.0,463.0,0.0,26224.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,10.0,13.0,14.0,0.6263157353269377,0.8239236503604521,0.6781068262632155,126,10,263,13,111,14
